budget,method,r2,rmse,rpd,r2_std,prep
2,greedy,-0.3332755960857323,0.019538789361999313,0.8660441551146194,,SG + SNV
2,random,-1.677083814884298,0.024848003565696438,0.7241638357403517,2.4983750640085045,SG + SNV
4,greedy,-0.7805670965765985,0.02218171652209935,0.7494123195249205,,SG + SNV
4,random,-2.710912402281793,0.028379778266656972,0.6046841962110291,2.6576213986650656,SG + SNV
6,greedy,-3.568928081489103,0.029974324395347376,0.467835139588873,,SG + SNV
6,random,-1.852994861536505,0.026105272721276836,0.6679384651003987,1.7855970021020593,SG + SNV
8,greedy,-1.4867341247409205,0.023664236767931814,0.6341402550429628,,SG + SNV
8,random,-2.0576897151238738,0.025490311970061692,0.6608420634150032,2.4014557654053665,SG + SNV
10,greedy,-0.9523330587359056,0.02256545523182143,0.7156868636927343,,SG + SNV
10,random,-1.3743123403360158,0.023952864897848456,0.6980833958933217,1.3564940146260154,SG + SNV
12,greedy,-2.1213453760009893,0.026880866383980084,0.5660164941663817,,SG + SNV
12,random,-2.287537054338337,0.024868129840713092,0.6654623579412301,3.838924090765931,SG + SNV
14,greedy,-0.8575483290948287,0.02235779490434674,0.7337192932245362,,SG + SNV
14,random,-1.5817775416751247,0.021904550694568002,0.6807225098861586,1.5140116109714916,SG + SNV
16,greedy,-0.524475056254508,0.02180420833170763,0.8099157389643519,,SG + SNV
16,random,-3.849195663211341,0.020704789175395276,0.613476986191659,7.345317204268253,SG + SNV
2,greedy,-0.21978876044202544,0.018742531813908878,0.9054358506500961,,SG + MSC
2,random,-1.8155707698413712,0.025261409686981817,0.718386297237264,2.9493324654273763,SG + MSC
4,greedy,-0.6749563976384385,0.02153808448682173,0.7726774662359598,,SG + MSC
4,random,-2.64371391579337,0.02844034634098532,0.6001594231258955,2.1312833215010154,SG + MSC
6,greedy,-0.2315903753085662,0.01969786575750231,0.9010872753104648,,SG + MSC
6,random,-2.0348239016967478,0.02615856399739016,0.6795477288999474,2.935943894106402,SG + MSC
8,greedy,-0.8708127998315869,0.02235171034798216,0.7311135512895729,,SG + MSC
8,random,-1.513487473245025,0.02387677319784203,0.6867507807436123,1.3176627982720066,SG + MSC
10,greedy,-0.1899450980435704,0.01951060047709695,0.9167196442057246,,SG + MSC
10,random,-1.5401453195041384,0.024312292477796614,0.6908471250917236,2.2643857095414206,SG + MSC
12,greedy,-0.620895301578501,0.020979442869874923,0.7854571877606162,,SG + MSC
12,random,-1.5348890812710445,0.023366832395336126,0.6844365875649683,1.5915832449516019,SG + MSC
14,greedy,-0.7093691722849382,0.01922791811007698,0.7648602063297171,,SG + MSC
14,random,-1.6896069425209166,0.022306833812247618,0.6687277406414973,1.7104854287234248,SG + MSC
16,greedy,-0.6625575672904014,0.0224672464393075,0.7755533069261863,,SG + MSC
16,random,-2.741151895854117,0.020347503329624664,0.6084445146340415,3.2991759615821183,SG + MSC
2,greedy,-4.1223059362941585,0.03301824916923146,0.44184225138695316,,SG + 1st Deriv
2,random,-1.689890446522695,0.024839927636963854,0.7241743511204105,2.631585076425737,SG + 1st Deriv
4,greedy,-3.0523059104692534,0.031057165598029294,0.4967625965963244,,SG + 1st Deriv
4,random,-3.047712836138972,0.02941424308907412,0.581619115205303,3.115098959026309,SG + 1st Deriv
6,greedy,-1.0449090964314247,0.023474083519341576,0.6992991439386683,,SG + 1st Deriv
6,random,-2.403035334556153,0.027865224689251043,0.6372377871555805,2.7972993958609624,SG + 1st Deriv
8,greedy,-1.544737150066899,0.023206183263334974,0.6268715135754164,,SG + 1st Deriv
8,random,-2.135112035121922,0.02593399774145139,0.6429248693654739,2.503077078860998,SG + 1st Deriv
10,greedy,-1.16100322957652,0.023355761144963114,0.6802558605937863,,SG + 1st Deriv
10,random,-1.4798246529659804,0.024574789259378775,0.6716815435748316,1.2375624655614401,SG + 1st Deriv
12,greedy,-0.769420762816426,0.0235084104546534,0.7517690472732311,,SG + 1st Deriv
12,random,-1.5935259653917766,0.02414295936204359,0.6537175653096711,1.039028362490619,SG + 1st Deriv
14,greedy,-0.8598443709883987,0.02351899940615415,0.7332662524963666,,SG + 1st Deriv
