SG + SNV,SG + MSC,SG + 1st Deriv,SG + 2nd Deriv,SG + SNV + 1st Der,SG + SNV + 2nd Der,SG + MSC + 1st Der,SG + MSC + 2nd Der
CDC Greenwater,CDC Patrick,CDC Meadow,CDC Meadow,AAC Chrome,AAC Chrome,AAC Chrome,AAC Chrome
AAC Liscard,AAC Liscard,CDC Canary,CDC Canary,AAC Liscard,AAC Liscard,AAC Liscard,AAC Liscard
CDC Canary,CDC Saffron,CDC Striker,CDC Striker,CDC Canary,CDC Spectrum,CDC Canary,CDC Spectrum
CDC Saffron,CDC Canary,CDC Saffron,Redbat 88,CDC Spectrum,CDC Canary,CDC Saffron,CDC Canary
CDC Meadow,CDC Striker,CDC Patrick,CDC Patrick,AAC Lacombe,CDC Striker,AAC Lacombe,CDC Striker
AAC Chrome,AAC Lacombe,AAC Lacombe,AAC Lacombe,CDC Striker,AAC Lacombe,CDC Striker,AAC Lacombe
CDC Striker,CDC Golden,CDC Spectrum,CDC Spruce,CDC Patrick,CDC Saffron,CDC Meadow,CDC Saffron
AAC Lacombe,CDC Meadow,AAC Liscard,CDC Spectrum,CDC Saffron,CDC Meadow,CDC Patrick,CDC Meadow
CDC Lewochko,CDC Lewochko,CDC Spruce,CDC Dakota,CDC Meadow,CDC Patrick,CDC Spectrum,CDC Patrick
CDC Patrick,CDC Tetris,CDC Tetris,CDC Greenwater,CDC Amarillo,CDC Amarillo,CDC Amarillo,CDC Amarillo
CDC Tetris,CDC Greenwater,CDC Greenwater,CDC Tetris,CDC Greenwater,CDC Inca,CDC Greenwater,CDC Inca
CDC Spectrum,CDC Spectrum,CDC Athabasca,CDC Inca,CDC Tetris,CDC Greenwater,CDC Tetris,CDC Greenwater
CDC Athabasca,AAC Chrome,CDC Lewochko,CDC Lewochko,CDC Spruce,CDC Tetris,CDC Spruce,CDC Tetris
CDC Amarillo,CDC Amarillo,Redbat 88,CDC Saffron,CDC Inca,CDC Spruce,CDC Inca,CDC Lewochko
CDC Spruce,CDC Spruce,CDC Amarillo,AAC Chrome,CDC Lewochko,CDC Lewochko,CDC Lewochko,CDC Spruce
CDC Golden,CDC Dakota,CDC Dakota,AAC Liscard,CDC Golden,CDC Golden,CDC Golden,CDC Golden
CDC Inca,CDC Inca,CDC Inca,CDC Amarillo,CDC Jasper,CDC Jasper,CDC Jasper,CDC Jasper
CDC Dakota,CDC Athabasca,CDC Jasper,CDC Jasper,CDC Athabasca,Redbat 88,CDC Athabasca,Redbat 88
CDC Jasper,CDC Jasper,AAC Chrome,CDC Athabasca,CDC Dakota,CDC Athabasca,CDC Dakota,CDC Dakota
Redbat 88,Redbat 88,CDC Golden,CDC Golden,Redbat 88,CDC Dakota,Redbat 88,CDC Athabasca
