budget,method,model,r2,rmse,rpd,r2_std
2,greedy,plsr,-0.21978876044202544,0.018742531813908878,0.9054358506500961,
2,random,plsr,-1.8155707698413712,0.025261409686981817,0.718386297237264,2.9493324654273763
4,greedy,plsr,-2.3174535772762526,0.02982131137792184,0.5490318926394034,
4,random,plsr,-2.64371391579337,0.02844034634098532,0.6001594231258955,2.1312833215010154
6,greedy,plsr,-1.1011971087763435,0.022012006925555015,0.6898689568370613,
6,random,plsr,-2.0348239016967478,0.02615856399739016,0.6795477288999474,2.935943894106402
8,greedy,plsr,-0.8117335590168886,0.02198519316132257,0.7429384502766473,
8,random,plsr,-1.513487473245025,0.02387677319784203,0.6867507807436123,1.3176627982720066
10,greedy,plsr,-1.1672424533405996,0.023084290105746745,0.6792759684707559,
10,random,plsr,-1.5401453195041384,0.024312292477796614,0.6908471250917236,2.2643857095414206
12,greedy,plsr,-0.5058664506337098,0.0212873782054314,0.8149046034093569,
12,random,plsr,-1.5348890812710445,0.023366832395336126,0.6844365875649683,1.5915832449516019
14,greedy,plsr,-0.9743484623472618,0.018535440849621707,0.711685466490538,
14,random,plsr,-1.6896069425209166,0.022306833812247618,0.6687277406414973,1.7104854287234248
16,greedy,plsr,-2.2192959705342274,0.018868178549838775,0.5573391449714339,
16,random,plsr,-2.741151895854117,0.020347503329624664,0.6084445146340415,3.2991759615821183
2,greedy,cnn,-0.029091802882821538,0.01721523686259982,0.9857639701217717,
2,random,cnn,-1.8937473901346578,0.02563974933069375,0.6630798348825655,1.6423068498314144
4,greedy,cnn,-0.3617509176524938,0.01910614848546999,0.8569414730164361,
4,random,cnn,-0.8646710389114419,0.02248944318968788,0.7507790394628143,0.5019260279902751
6,greedy,cnn,-0.5517216503426625,0.018916167602598868,0.8027736153879554,
6,random,cnn,-1.2895728732620668,0.02314359172948974,0.6812593179985542,0.6478816298164535
8,greedy,cnn,-0.30218973671508875,0.018638899011928813,0.8763202872579692,
8,random,cnn,-0.5094812869814254,0.020557006442524884,0.8266950514733618,0.3169340485114085
10,greedy,cnn,-0.49274907526579326,0.01915826513653112,0.8184772162976864,
10,random,cnn,-0.8366213859911781,0.022075316464411077,0.7568605964822654,0.4548882947645004
12,greedy,cnn,-0.23603174495345436,0.019286070934240784,0.8994669029928543,
12,random,cnn,-0.9451506321143889,0.020257066173235635,0.7612099166623594,0.9312052434265631
14,greedy,cnn,-0.47551856443557394,0.01602372031157722,0.8232422690341106,
14,random,cnn,-1.6577429932163068,0.015824062121425436,0.7417471131387453,2.445525639219009
16,greedy,cnn,-1.629289837112243,0.017051742107599646,0.6167096847804611,
16,random,cnn,-0.46634409546740263,0.01970245589673696,0.9041161157438834,0.7880485214377013
